Team,Conference,YearInc,W,L,T,Yr plyf,Conf,Chmp, Forbes2014Value 
Dallas Cowboys,NFC,1960,476,352,6,31,8,5,3200000000
New England Patriots,AFC,1960,450,377,9,22,8,3,2600000000
Washington Redskins,NFC,1932,569,558,27,23,5,5,2400000000
New York Giants,NFC,1925,667,557,33,31,5,8,2100000000
Houston Texans,AFC,2002,88,120,0,2,0,0,1850000000
New York Jets,AFC,1960,377,451,8,14,1,1,1800000000
Philadelphia Eagles,NFC,1933,541,573,26,24,2,3,1750000000
Chicago Bears,NFC,1920,735,545,42,25,2,9,1700000000
San Francisco 49ers,NFC,1946,553,439,16,26,6,5,1600000000
Baltimore Ravens,AFC,1996,168,135,1,10,2,2,1500000000
Denver Broncos,AFC,1960,444,382,10,21,7,2,1450000000
Indianapolis Colts,AFC,1953,486,425,7,27,4,4,1400000000
Green Bay Packers,NFC,1921,710,541,37,30,5,13,1375000000
Pittsburgh Steelers,AFC,1933,580,524,20,28,8,6,1350000000
Seattle Seahawks,NFC,1976,305,307,0,14,3,1,1330000000
Miami Dolphins,AFC,1966,423,325,4,22,5,2,1300000000
Carolina Panthers,NFC,1995,151,168,1,6,1,0,1250000000
Tampa Bay Buccaneers,NFC,1976,235,376,1,10,1,1,1225000000
Tennessee Titans,AFC,1960,401,429,6,21,1,2,1160000000
Minnesota Vikings,NFC,1961,438,374,10,27,4,0,1150000000
Atlanta Falcons,NFC,1966,322,424,6,12,1,0,1125000000
Cleveland Browns,AFC,1946,505,442,13,28,0,8,1120000000
New Orleans Saints,NFC,1967,324,409,5,10,1,1,1110000000
Kansas City Chiefs,AFC,1960,424,400,12,17,2,2,1100000000
Arizona Cardinals,AFC,1920,522,721,39,9,1,2,1000000000
San Diego Chargers,AFC,1960,417,408,11,18,1,1,995000000
Cincinnati Bengals,AFC,1968,326,395,3,13,2,0,990000000
Oakland Raiders,AFC,1960,437,388,11,21,5,3,970000000
Jacksonville Jaguars,AFC,1995,147,173,0,6,0,0,965000000
Detroit Lions,NFC,1930,528,625,32,16,0,4,960000000
Buffalo Bills,AFC,1960,385,443,8,17,4,2,935000000
St. Louis Rams,NFC,1937,533,533,21,27,3,3,930000000
